,ndvi
0,0.38208718701119093
1,0.12841879331435668
2,0.15902943744445247
3,0.4084736488812102
4,0.08203552123154974
5,0.19504842927478847
6,0.27549976537864956
7,0.22316081900018706
8,0.2419267194856122
9,0.131344151240903
10,0.6420186389435887
11,0.6659772993005585
12,0.4593061404804555
13,
14,0.6903668796433736
15,0.6404694713766221
16,0.3999440349149862
17,0.8759569644823237
18,0.35748408207862103
19,0.8876483987576519
20,0.6653820831495121
21,0.3611558789173859
22,0.7921657231089703
23,0.4789206029436691
24,0.2850442934076006
25,0.30774197360554584
26,
27,0.06783218221810378
28,0.41825252881497765
29,0.20373545726489595
30,
31,0.20618435948363242
32,0.10913223805113388
33,0.36591201425156145
34,0.28989123984926846
35,0.7050977278428926
36,0.18687342285769468
37,0.1898829134189533
38,0.2046275550069301
39,0.28400638959154695
40,0.0627960778006024
41,
42,
43,
44,0.870766755611224
45,0.3940237844621255
46,
47,0.887112077795869
48,
49,0.4569032284540664
50,0.33305356238938083
51,0.5615514965462267
52,0.268494899922324
53,0.25781349318993485
54,0.5435384971108548
55,0.4342509711794962
56,0.12575673676048943
57,
58,
59,0.09135452082933941
60,
